Date,CountyName,Location,EventType,Deaths,PropertyDamage,CropDamage
2018-05-18,MAGOFFIN CO.,HENDRICKS,Flash Flood,0,2000.0,0.0
2018-07-04,MAGOFFIN CO.,SEITZ,Thunderstorm Wind,0,0.0,0.0
2018-12-09,MAGOFFIN (ZONE), ,Winter Weather,0,0.0,0.0
2019-01-19,MAGOFFIN CO.,WHEELERSBURG,Flood,0,0.0,0.0
2019-01-19,MAGOFFIN CO.,FALCON,Flood,0,0.0,0.0
2019-02-12,MAGOFFIN CO.,SWAMPTON,Heavy Rain,0,15000.0,0.0
2019-02-20,MAGOFFIN CO.,SWAMPTON,Flood,0,75000.0,0.0
2019-02-20,MAGOFFIN CO.,STRINGTOWN,Heavy Rain,0,50000.0,0.0
2019-02-23,MAGOFFIN CO.,GULLETT,Heavy Rain,0,50000.0,0.0
2019-02-23,MAGOFFIN CO.,CONLEY,Flood,0,40000.0,0.0
2019-02-23,MAGOFFIN CO.,FALCON,Flash Flood,0,40000.0,0.0
2019-02-23,MAGOFFIN CO.,SALYERSVILLE,Flash Flood,0,250000.0,0.0
2019-05-29,MAGOFFIN CO.,MASON,Thunderstorm Wind,0,0.0,0.0
2019-05-29,MAGOFFIN CO.,CYRUS,Thunderstorm Wind,0,0.0,0.0
2019-05-31,MAGOFFIN CO.,FORAKER,Hail,0,0.0,0.0
2019-06-05,MAGOFFIN CO.,SEITZ,Hail,0,0.0,0.0
2019-06-05,MAGOFFIN CO.,FORAKER,Thunderstorm Wind,0,0.0,0.0
2019-06-16,MAGOFFIN CO.,SALYERSVILLE,Hail,0,0.0,0.0
2019-06-23,MAGOFFIN CO.,TIP TOP,Thunderstorm Wind,0,2000.0,0.0
2019-06-24,MAGOFFIN CO.,HENDRICKS,Thunderstorm Wind,0,10000.0,0.0
2019-07-02,MAGOFFIN CO.,SALYERSVILLE,Thunderstorm Wind,0,0.0,0.0
2019-09-24,MAGOFFIN (ZONE), ,Drought,0,0.0,0.0
2019-10-01,MAGOFFIN (ZONE), ,Drought,0,0.0,0.0
2020-01-11,MAGOFFIN (ZONE), ,High Wind,0,0.0,0.0
2020-02-06,MAGOFFIN CO.,SEITZ,Heavy Rain,0,20000.0,0.0
2020-02-12,MAGOFFIN (ZONE), ,Strong Wind,0,200.0,0.0
2020-04-08,MAGOFFIN CO.,SALYERSVILLE,Thunderstorm Wind,0,0.0,150.0
2020-04-12,MAGOFFIN (ZONE), ,Strong Wind,0,2500.0,5000.0
2020-05-03,MAGOFFIN CO.,YALE,Thunderstorm Wind,0,0.0,100.0
2020-05-09,MAGOFFIN (ZONE), ,Frost/Freeze,0,0.0,0.0
2020-07-12,MAGOFFIN CO.,LAKEVILLE,Thunderstorm Wind,0,0.0,0.0
2020-12-24,MAGOFFIN (ZONE), ,Heavy Snow,0,0.0,0.0
2021-02-01,MAGOFFIN (ZONE), ,Winter Weather,0,0.0,0.0
2021-02-11,MAGOFFIN (ZONE), ,Ice Storm,0,0.0,0.0
2021-02-14,MAGOFFIN (ZONE), ,Ice Storm,0,0.0,0.0
2021-02-14,MAGOFFIN (ZONE), ,Ice Storm,0,0.0,0.0
2021-02-14,MAGOFFIN (ZONE), ,Ice Storm,0,0.0,0.0
2021-02-17,MAGOFFIN (ZONE), ,Winter Weather,0,0.0,0.0
2021-02-28,MAGOFFIN CO.,HENDRICKS,Flash Flood,0,0.0,0.0
2021-02-28,MAGOFFIN CO.,SALYERSVILLE,Flash Flood,0,40000.0,0.0
2021-03-01,MAGOFFIN CO.,SALYERSVILLE,Flood,0,0.0,0.0
2021-03-01,MAGOFFIN CO.,EDNA,Flood,0,0.0,0.0
2021-04-08,MAGOFFIN CO.,BLOOMINGTON,Hail,0,0.0,0.0
2021-06-18,MAGOFFIN CO.,FORAKER,Thunderstorm Wind,0,0.0,50.0
2021-06-18,MAGOFFIN CO.,BRADLEY,Thunderstorm Wind,0,250.0,0.0
2021-06-21,MAGOFFIN CO.,GUNLOCK,Thunderstorm Wind,0,0.0,100.0
2021-07-10,MAGOFFIN CO.,ELSIE,Thunderstorm Wind,0,1000.0,0.0
2021-12-11,MAGOFFIN CO.,GYPSY,Thunderstorm Wind,0,0.0,1000.0
2021-12-11,MAGOFFIN CO.,LICKSBURG,Thunderstorm Wind,0,0.0,3000.0
2022-01-06,MAGOFFIN (ZONE), ,Heavy Snow,0,0.0,0.0
